title,id,overview,genres,cast,director,writers,production_companies,producers,original_language,vote_count,vote_average,popularity,runtime,release_date
Un Chien Andalou,626,"Un Chien Andalou is an European avant-garde surrealist film, a collaboration between director Luis Buñuel and Salvador Dali.",Horror,"Fano Messan, Jaume Miravitlles, Simone Mareuil, Salvador Dalí, Robert Hommet, Marval, Pierre Batcheff, Luis Buñuel",Luis Buñuel,"Salvador Dalí, Luis Buñuel",Billancourt Studios,Luis Buñuel,fr,1218,7.454,18.167,21,1929-06-05
Possession,21484,"A young woman left her family for an unspecified reason. The husband determines to find out the truth and starts following his wife. At first, he suspects that a man is involved. But gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",Horror,"Maximilian Rüthlein, Margit Carstensen, Johanna Hofer, Leslie Malton, Michael Hogben, Shaun Lawton, Heinz Bennent, Sam Neill, Thomas Frey, Harry Riebauer, Dragomir Stanojević, Isabelle Adjani, Carl Duering",Andrzej Żuławski,"Andrzej Żuławski, Frederic Tuten","Gaumont, Oliane Productions, Marianne Productions, Soma Film Produktion",Marie-Laure Reyre,fr,987,7.345,31.024,124,1981-05-27
Gonjiam: Haunted Asylum,508642,"The crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.","Horror, Mystery","Moon Ye-won, Wi Ha-jun, Park Ji-hyun, Oh Ah-yeon, Park Sung-hoon, Park Ji-a, Lee Seung-wook, Yoo Je-yoon",Jung Bum-shik,"Jung Bum-shik, Park Sang-min",Hive Media Corp,"Kim Do-su, Choi Byeong-hwan, Oh Yun-dong, William Kim, Kim Jin-woo, Jung Hyun-ju, Won-guk Kim, Kang Kwan-ho",ko,587,7.332,32.061,95,2018-03-28
The Changeling,13550,"After a tragic event happens, composer John Russell moves to Seattle to try to overcome it and build a new and peaceful life in a lonely big house that has been uninhabited for many years. But, soon after, the obscure history of such an old mansion and his own past begin to haunt him.",Horror,"David Peevers, Nicki Steida, Helen Burns, Antonia Rey, Terence Kelly, Bryan King, James B. Douglas, Fred Latremouille, Frances Hyland, Ruth Springford, Roberta Maxwell, Susan Round, Chris Gampel, Travis Major, Melvyn Douglas, Randolph Blankinship, Trish Van Devere, J. Kenneth Campbell, Hagan Beggs, Sammy Smith, Barry Morse, Jean Marsh, Anna Hagan, Janne Mortil, John Colicos, Madeleine Sherwood, Sera Johnstone, Adam Earle, Carl Boychuk, Robert Monroe, Voldi Way, George C. Scott, Bernard Behrens, Paul Rothery, Bruce MacLeod, Eric Christmas, Michelle Martin",Peter Medak,"Russell Hunter, Diana Maddox, William Gray",Chessman Park Productions,"Garth H. Drabinsky, Andrew G. Vajna, Mario Kassar, Joel B. Michaels",en,574,7.028,16.065,103,1980-03-28
The Innocents,16372,A young governess for two children becomes convinced that the house and grounds are haunted by ghosts and that the children are being possessed.,"Horror, Mystery","Isla Cameron, Peter Wyngarde, Megs Jenkins, Martin Stephens, Deborah Kerr, Pamela Franklin, Clytie Jessop, Eric Woodburn, Michael Redgrave",Jack Clayton,"William Archibald, Jeanie Sims, Truman Capote, Henry James","Achilles, 20th Century Fox","Jack Clayton, Albert Fennell",en,546,7.448,12.08,100,1961-12-15
Black Sunday,27632,"A vengeful witch, Asa Vajda, and her fiendish servant, Igor Jauvitch, return from the grave and begin a bloody campaign to possess the body of the witch's beautiful look-alike descendant, Katia. Only a handsome doctor with the help of family members stand in her way.",Horror,"Enrico Olivieri, Arturo Dominici, Ivo Garrani, Barbara Steele, Germana Dominici, Mario Passante, Andrea Checchi, Tino Bianchi, Renato Terra, Clara Bindi, John Richardson, Antonio Pierfederici, Nando Gazzolo",Mario Bava,"Nikolai Gogol, Mario Serandrei, Ennio De Concini","Galatea Film, Jolly Film","Massimo De Rita, Lionello Santi",it,486,7.5,14.763,86,1960-08-11
Black Sabbath,28043,"Three short tales of supernatural horror. In “The Telephone,” a woman is plagued by threatening phone calls. In """"The Wurdalak,” a family is preyed upon by vampiric monsters. In “The Drop of Water,” a deceased medium wreaks havoc on the living.",Horror,"Boris Karloff, Milo Quesada, Mark Damon, Lidia Alfonsi, Gustavo De Nardo, Jacqueline Pierreux, Milly, Michèle Mercier, Glauco Onorato, Massimo Righi, Harriet Medin, Rika Dialina, Susy Andersen",Mario Bava,"Alberto Bevilacqua, Mario Bava, Anton Chekhov, Marcello Fondato, Aleksey Konstantinovich Tolstoy, Guy de Maupassant","Emmepi Cinematografica, Galatea Film, Societé Cinématographique Lyre",Lionello Santi,it,376,7.222,11.071,95,1963-08-17
Don't Torture a Duckling,49361,A reporter and a promiscuous young woman try to solve a series of child killings in a remote southern Italian town rife with superstition and a distrust of outsiders.,Horror,"Vito Passeri, John Bartha, Ugo D'Alessio, Gianfranco Barra, Barbara Bouchet, Florinda Bolkan, Franco Balducci, Irene Papas, Virgilio Gazzolo, Fausta Avelli, Tomas Milian, Georges Wilson, Marc Porel, Don Semeraro, Linda Sini, Andrea Aureli, Rosalia Maggio, Antonello Campodifiori, Duilio Cruciani",Lucio Fulci,"Roberto Gianviti, Gianfranco Clerici, Lucio Fulci",Medusa Produzione,Renato Jaboni,it,340,7.346,12.56,105,1972-09-29
The Fall of the House of Usher,28189,"A stranger called Allan goes to the House of Usher. He is the sole friend of Roderick Usher, who lives in the eerie house with his sick wife Madeleine. When she dies, Roderick does not accept her death, and in the dark night, Madeleine returns.",Horror,"Halma, Luc Dartagnan, Abel Gance, Pierre Kefer, Jean Debucourt, Marguerite Gance, Charles Lamy, Pierre Hot, Fournez-Goffard",Jean Epstein,"Luis Buñuel, Edgar Allan Poe, Jean Epstein",Films Jean Epstein,Jean Epstein,fr,120,7.1,12.662,63,1928-10-04
Psycho,539,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.","Horror, Thriller, Mystery","Patricia Hitchcock, Helen Wallace, Harper Flaherty, Janet Leigh, Frank Albertson, George Eldredge, Walter Bacon, Ted Knight, Lurene Tuttle, Jeanette Nolan, Alfred Hitchcock, Martin Balsam, Fletcher Allen, Vera Miles, John Gavin, Robert Osborne, Paul Jasmin, Hans Moebus, John Anderson, Simon Oakland, Vaughn Taylor, Mort Mills, Sam Flint, Lillian O'Malley, George Dockstader, Francis De Sales, Virginia Gregg, Frank Killmond, Pat McCaffrie, John McIntire, Kit Carson, Anthony Perkins, Fred Scheiwiller, Lee Kass",Alfred Hitchcock,"Joseph Stefano, Robert Bloch",Shamley Productions,Alfred Hitchcock,en,9626,8.4,80.56,109,1960-06-22
