title,id,overview,genres,cast,director,writers,production_companies,producers,original_language,vote_count,vote_average,popularity,runtime,release_date
Alone,37973,"When Pim and Ploy, twins conjoined at the stomach, are separated, the operation leaves Pim the surviving sister, haunted by Ploy's vengeful ghost.","Horror, Mystery, Drama","Witaya Wasukraipaisarn, Chantavit Dhanasevi, Ratchanoo Bunchootwong, Michel Pardo, Chayakan Vimuktananda, Prasert Vivattanananpong, Chutikan Vimuktananda, Yupawan Unnataravarangkool, Young-hee Kim, Hye Weon Ku, Amornrat Piboonthanakiat, Rutairat Egereff, Pornchai Piboontanakeat, Sey-sook Park, Marsha Vadhanapanich, Hee-bae Park, Namo Tongkumnerd, Vanvisa Wongpoom, Hatairat Egereff, Tae-yong Lee, Eng Gye One Seo, Nimit Luksameepong, Taechit Mingmongkol","Banjong Pisanthanakun, Parkpoom Wongpoom","Sophon Sakdaphisit, Banjong Pisanthanakun, Parkpoom Wongpoom, Aummaraporn Phandintong","Dedicate Ltd., GMM Tai Hub (GTH), Phenomena","Visute Poolvoralaks, Jina Osothsilp, Boosaba Daorueng, Yongyoot Thongkongtoon, Paiboon Damrongchaitham, Mingmonkul Sonakul",th,203,7.126,16.463,90,2007-03-28
Strange Circus,10842,"The erotic novelist Taeko is writing a morbid story of a family destroyed by incest, murder and abuse. Her assistant, Yuji, sets on a mission to uncover the reality of this story, but the reality might be too much to bear.","Mystery, Horror, Drama","Rie Kuwana, Issei Ishida, Mame Yamada, Fujiko, Madamu Rejînu, Yuya Ishikawa, Hiroshi Ohguchi, Tomorowo Taguchi, Keiko Yokomachi, Masumi Miyazaki, Erika Mine, Seiko Iwaido",Sion Sono,Sion Sono,Sedic,"Koji Hoshino, Toshiie Tomida, Toshihiro Satô, Toshiaki Nakazawa",ja,171,7.2,16.701,108,2005-12-24
The Cursed: Dead Man's Prey,724885,"Following a brutal murder case, the police are baffled to find out that the assailant, whose body was found on the scene with the victim, had already been dead for three months. Meanwhile, journalist Jin-hee sets up a live interview with an anonymous caller claiming he is the true killer behind the mysterious murder. When the man announces three more murders will occur in the hands of the undead, Jin-hee must face the sinister forces beyond understanding.","Thriller, Mystery, Horror","Jung Ji-so, Go Gyu-pil, Jeon Ah-hee, Kim In-kwon, Lee Sul, Jung Moon-sung, Park Kang-seop, Park Jae-wan, Yoo Jang-young, Kwon Hae-hyo, Nam Yeon-woo, Yoo In-hyuk, Oh Yoon-ah, Jo Han-chul, Uhm Ji-won, Yang Hyun-min, Lee Joong-ok, Han Hyeon-jik, Jeon Kuk-hwan, Jeong Jae-seong",Kim Yong-wan,"Park Song-i, Kim Yong-wan, Yeon Sang-ho","Climax Studios, Studio Dragon, CJ Entertainment, KEYEAST, CJ ENM","Lim Min-sub, Byun Seung-min",ko,120,7.492,16.11,110,2021-07-28
Taste of Fear,64568,"A wheelchair-bound young girl returns to her father's estate after ten years, and although she's told he's away, she keeps seeing his dead body on the estate.","Thriller, Mystery, Horror","Christopher Lee, Frederick Rawlings, Frederick Schrecker, John Serret, Ann Todd, Brian Jackson, Rodney Burke, Gordon Sterne, Susan Strasberg, Bernard Browne, Ronald Lewis, Leonard Sachs, Anne Blake, Fred Johnson, Heinz Bernard, Richard Klee, Madame Lobegue",Seth Holt,Jimmy Sangster,Hammer Film Productions,"Michael Carreras, Jimmy Sangster",en,116,7.026,9.658,82,1961-06-05
The Shining,694,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.","Horror, Thriller","Burnell Tucker, Billie Gibson, Derek Lyons, Guy Standeven, Jack Nicholson, Lia Beldam, Jana Shelden, Scatman Crothers, Louise Burns, Robin Pappas, Lisa Burns, Kate Phelps, Norman Gay, Anne Jackson, Reg Thomason, Peter McNamara, Tony Burton, Alison Coleridge, Paul Desbois, Barry Nelson, Manning Redwood, David Baxt, Danny Lloyd, Barry Dennen, Alan Harris, Shelley Duvall, Vivian Kubrick, Joe Turkel, Philip Stone",Stanley Kubrick,"Stephen King, Stanley Kubrick, Diane Johnson","Warner Bros. Pictures, Peregrine, Hawk Films, The Producer Circle Co.","Stanley Kubrick, Jan Harlan",en,16750,8.216,56.644,144,1980-05-23
Zombieland,19908,"Columbus has made a habit of running from what scares him. Tallahassee doesn't have fears. If he did, he'd kick their ever-living ass. In a world overrun by zombies, these two are perfectly evolved survivors. But now, they're about to stare down the most terrifying prospect of all: each other.","Comedy, Horror","Daniel Burnley, Robert Hatch, Travis Grant, Mike White, Stephen Prouty, Kurt McNew, Ming Qiu, Elle Alexander, Sonya Thompson, Amir Kovacs, Derek Graf, Lynn McArthur, Melanie Booth, Emma Stone, April Rich, Sydnie Dawson, Jesse Eisenberg, Jeh Howell, Travis Young, Suzanne LaChasse, Abigail Breslin, Joan Schuermeyer, Christina Klein, Amir R. Khan, Justin Price, Clay Walker, Bill Murray, Woody Harrelson, Cody Rowlett, Victory Van Tuyl, Cesar Aguirre, Blaise Corrigan, Rhett Reese, Chris Burns, Steve Warren, Brian Stretch, Shaun Michael Lynch, Michelle Sebek, Jon Gould, Ernest Dancy, Amber Heard",Ruben Fleischer,"Rhett Reese, Paul Wernick","Pariah, Columbia Pictures, Relativity Media","Ryan Kavanaugh, Rhett Reese, Paul Wernick, Gavin Polone, Ezra Swerdlow",en,11793,7.26,45.322,88,2009-10-07
The Conjuring,138843,"Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse. Forced to confront a powerful entity, the Warrens find themselves caught in the most terrifying case of their lives.","Horror, Thriller","Vera Farmiga, James D. Nelson, Kyla Deaver, Nate Seman, Ron Livingston, Hayley McFarland, Marion Guyot, Desi Domo, Morganna Bridgers, Joseph Bishara, Sean Flynn, Amy Tipton, Kymoura Kennedy, Sterling Jerins, Carmella Gioio, Rose Bachtel, Joey King, Zach Pappas, Patrick Wilson, Shannon Kook, Christof Veillon, Mackenzie Foy, Tony Spera, Ashley White, Emily Brobst, Shanley Caswell, Lili Taylor, John Brotherton, Lorraine Warren, Steve Coulter, Arnell Powell, George T. Zervos",James Wan,"Carey Hayes, Chad Hayes","Evergreen Media Group, New Line Cinema, The Safran Company","Dave Neustadter, Walter Hamada, Tony DeRosa-Grund, Rob Cowan, Peter Safran",en,11019,7.541,133.183,112,2013-07-18
Shaun of the Dead,747,"Shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. This gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary Londoners.","Horror, Comedy","Jeremy Thompson, Phyllis MacMahon, Rafe Spall, Robert Fitch, Sonnell Dadral, Nicola Cunningham, Robert Popper, Lucy Akhurst, Patch Connolly, Joe Cornish, Keir Mills, Patricia Franklin, Arvind Doshi, Nick Frost, Samantha Day, Julia Deakin, Jessica Hynes, Horton Jupiter, Krishnan Guru-Murthy, Julia Davis, Jon Buckland, Nicholas Wilson, Matt Lucas, Christopher Harwood, Peter Baynham, Finola Geraghty, Trisha Goddard, Martin Freeman, Tamsin Greig, Kate Ashfield, Sharon Gavin, Dylan Moran, Simon Pegg, Stuart Powell, Matt Jaynes, Alex Lutes, Garth Jennings, Peter Serafinowicz, Kevin Wilson, Bill Nighy, Tim Baggaley, Paul Kaye, Gavin Ferguson, Lucy Davis, Chris Martin, Vernon Kay, Keith Chegwin, Reece Shearsmith, Rob Brydon, David Walliams, Nick Ewans, Carol Barnes, Antonia Campbell-Hughes, Mark Donovan, Mark Gatiss, Paul Putner, Rob Butler, Steve Emerson, Penelope Wilton, Lauren Laverne, Edgar Wright, David Park, Michael Smiley",Edgar Wright,"Simon Pegg, Edgar Wright","Big Talk Studios, WT² Productions, Working Title Films, StudioCanal, Universal Pictures, Film4 Productions, Inside Track, FilmFour","Natascha Wharton, James Wilson, Eric Fellner, Nira Park, Tim Bevan, Alison Owen",en,8009,7.541,34.476,99,2004-04-09
The Thing,1091,"In the winter of 1982, a twelve-man research team at a remote Antarctic research station discovers an alien buried in the snow for over 100,000 years. Soon unfrozen, the form-changing creature wreaks havoc, creates terror... and becomes one of them.","Horror, Mystery, Science Fiction","Jed, Peter Maloney, Wilford Brimley, Richard Dysart, Charles Hallahan, Larry J. Franco, Thomas G. Waites, Richard Masur, William Zeman, David Clennon, Joel Polis, Kurt Russell, Adrienne Barbeau, Keith David, Norbert Weisser, Donald Moffat, Nate Irwin, John Carpenter, T.K. Carter",John Carpenter,"John W. Campbell Jr., Bill Lancaster","Universal Pictures, The Turman-Foster Company","Lawrence Turman, Wilbur Stark, David Foster",en,6549,8.058,64.38,109,1982-06-25
The Devil's Advocate,1813,"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.","Drama, Mystery, Thriller, Horror","Heather Matarazzo, Susan Kellermann, Franci Leary, Judith Ivey, Leo Burmester, Murphy Guyer, Ruben Santiago-Hudson, Harsh Nayyar, Mark Deakins, Vyto Ruginis, Kim Chan, Connie Embesi, Connie Nielsen, Mohammad Ghaffari, Caprice Benedetti, James Saito, Rony Clanton, Delroy Lindo, Paul Benedict, Craig T. Nelson, Don King, Laura Harrington, George Wyner, Rocco Musacchia, Charlize Theron, Keanu Reeves, Neal Jones, Al Pacino, Tamara Tunie, Daniel Oreskes, Chris Bauer, Brian Poteat, Nicki Cochrane, Debra Monk, Vincent Laresca, Gloria Lynne Henry, Novella Nelson, Alan Manson, Jeffrey Jones, Benny Nieves, Jonathan Cavallary, Fenja Klaus, Monica Keena, Bill Moor, Ray Garvey, George O. Gore II, Gino Lucci, Eddie Aldridge, Pamela Gray",Taylor Hackford,"Andrew Neiderman, Jonathan Lemkin, Tony Gilroy","Monarchy Enterprises B.V., Regency Enterprises, Kopelson Entertainment, New Regency Pictures, Taurus Film, Warner Bros. Pictures","Taylor Hackford, Barry Bernardi, Michael Tadross, Arnold Kopelson, Arnon Milchan, Steve White, Anne Kopelson, Erwin Stoff",en,5646,7.456,61.118,144,1997-10-17
Sweeney Todd: The Demon Barber of Fleet Street,13885,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.","Drama, Horror","Phill Woodfine, Mandy Holliday, Johnny Depp, Anthony Stewart Head, Ian McLarnon, Nicholas Hewetson, Liza Sadovy, Nick Haverson, Johnson Willis, Jody Halse, Gemma Grey, Peter Mountain, Stephen Ashfield, Jane Fowler, Harry Taylor, Alan Rickman, Marcus Cunningham, Laura Sanchez, Gaye Brown, Laura Michelle Kelly, Jonathan Williams, Ed Sanders, Emma Hewitt, Adam Roach, Buck Holland, Timothy Spall, Jayne Wisener, Sacha Baron Cohen, Helena Bonham Carter, Toby Hefferman, Sue Maund, Tom Pleydell-Pearce, Norman Campbell Rees, Jess Murphy, Kira Woolman, Jon-Paul Hevey, Ava May, Graham Bohea, William Oxborrow, Jerry Judge, Philip Philmar, David McKail, John Paton, Gracie May Weldon, Jamie Campbell Bower, Aron Paramor, Daniel Lusardi, Helen Slaymaker, Sophie Morris-Sheppard, Charlotte Child, Lee Whitlock, Colin Higgins",Tim Burton,"Hugh Wheeler, John Logan, Stephen Sondheim","DreamWorks Pictures, Warner Bros. Pictures, Parkes/MacDonald Productions, The Zanuck Company","Richard D. Zanuck, Walter F. Parkes, Laurie MacDonald, John Logan, Patrick McCormick",en,5624,7.185,37.248,116,2007-12-20
Halloween,948,"Fifteen years after murdering his sister on Halloween Night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","Horror, Thriller","Barry Bernardi, Joseph Cornelius, Tony Moran, Brian Andrews, Adam Hollander, Jamie Lee Curtis, Gwen Van Dam, Robert Phalen, Mickey Yablans, Tommy Lee Wallace, P.J. Soles, Nancy Stephens, Brent Le Page, John Carpenter, Will Sandin, Peter Griffith, David Kyle, George O'Hanlon Jr., Donald Pleasence, John Michael Graham, Nancy Kyes, Charles Cyphers, Kyle Richards, Arthur Malet, Darla Rae, Nick Castle, Sandy Johnson",John Carpenter,"Debra Hill, John Carpenter","Compass International Pictures, Falcon International Productions","Irwin Yablans, Debra Hill, Moustapha Akkad",en,5258,7.558,54.474,91,1978-10-24
Bram Stoker's Dracula,6114,"In the 19th century, Dracula travels to London and meets Mina, a young woman who appears as the reincarnation of his lost love.","Romance, Horror","Billy Campbell, Laurie Franks, Keanu Reeves, Cary Elwes, Jules Sylvester, Paul Klar, Dagmar Stansova, Richard E. Grant, Adamo Palladino, Philip Pucci, Cully Fredricksen, Judi Diamond, Ele Bardha, Christina Fulton, I.M. Hobson, Honey Lauren, Daniel Newman, Sadie Frost, Monica Bellucci, Mark Borkowski, Hubert Wells, Alain Blazevic, Jeffery Thomas Johnson, Winona Ryder, John F. Kearney, Jay Robinson, Tina Cote, Damon Stout, Michaela Bercu, Maud Winchester, Anthony Hopkins, Octavian Cadia, Tatiana von Fürstenberg, Tom Waits, Nancy Linehan Charles, Robert Getz, Michael Laren, Heidi Schooler, Florina Kendrick, Gary Oldman, Eniko Öss, Robert Buckingham",Francis Ford Coppola,"James V. Hart, Bram Stoker","American Zoetrope, Osiris Films, Columbia Pictures","Francis Ford Coppola, Michael Apted, Fred Fuchs, Robert O'Connor, Charles Mulvehill",en,4824,7.456,56.631,127,1992-11-13
The Skin I Live In,63311,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.,"Drama, Horror, Mystery, Thriller","Jan Cornet, Elena Anaya, Chema Ruiz, Antonio Banderas, Buika, José Luis Gómez, Fernando Cayo, Ana Mena, Bárbara Lennie, Esther García, Marta R. Mahou, Agustín Almodóvar, Susi Sánchez, Teresa Manresa, Gabriel Barbosa, Eduard Fernández, Blanca Suárez, Marisa Paredes, Fernando Iglesias, Yolanda Brown, Miguel Almodóvar, Roberto Álamo",Pedro Almodóvar,"Thierry Jonquet, Pedro Almodóvar",El Deseo,"Esther García, Agustín Almodóvar",es,3988,7.518,31.829,120,2011-08-17
Carrie,7340,"An awkward, telekinetic teenage girl's lonely life is dominated by relentless bullying at school and an oppressive religious fanatic mother at home. When her tormentors pull a humiliating prank at the senior prom, she unleashes a horrifying chaos on everyone, leaving nothing but destruction in her wake.","Horror, Thriller","Sharon Benson, Dan Protheroe, Rory Stevens, P.J. Soles, William Katt, Cynthia Schuler Larsen, Piper Laurie, Glen Vance, Sissy Spacek, Jean Glaudé, Doug Cox, Katie Irving, Anson Downes, Janie Squire, Michael Talbott, John Travolta, Deirdre Berthrong, Nancy Allen, Cameron De Palma, Harry Gold, Cindy Daly, Edie McClurg, Stefan Gierasch, Noelle North, Terry Bolo, Betty Buckley, Amy Irving, Sydney Lassick, James Saad, Mike Towers, Priscilla Pointer",Brian De Palma,"Lawrence D. Cohen, Stephen King",United Artists,Paul Monash,en,3594,7.307,38.263,98,1976-11-03
What We Do in the Shadows,246741,Vampire housemates try to cope with the complexities of modern life and show a newly turned hipster some of the perks of being undead.,"Comedy, Horror","Ethel Robinson, Kura Forrester, Jemaine Clement, Cori Gonzalez-Macuer, Jackie van Beek, Luke Bonjers, Matthew Harvey-White, Emma Draper, Frank Habicht, Madeleine Sami, Mario Gaoa, Matt Dravitzki, Duncan Sarkies, Stan Alley, Karen O'Leary, Natalie Crane, Rodney Cook, Ana Flaherty, Ian Harcourt, Elena Stejko, Brad Harding, Emma Smith, Isaac Heron, Nathan Meister, Nathan Gray, Lucy Marinkavich, Jonny Brugh, Morgana Hills, Jason Hoyte, Ruby Vincent, Aaron Jackson, Simon Vincent, Melanie Hamilton, Rhys Darby, Mike Minogue, Jennifer Martin, Moose Kapua, Roland Hunter, Yvette Parsons, Morag Hills, Ben Fransham, Tanemahuta Gray, Denis Welch, Belle Gwilliam, Cohen Holloway, Aaron Lewis, Stu Rutherford, Taika Waititi, Jaxon Cook, Chelsie Preston Crayford","Jemaine Clement, Taika Waititi","Jemaine Clement, Taika Waititi","Unison Films, Defender Films, Funny or Die, New Zealand Film Commission, Resnick Interactive Development","Chelsea Winstanley, Emanuel Michael, Taika Waititi",en,3353,7.575,20.337,86,2014-06-19
Raw,393519,"In Justine’s family everyone is a vet and a vegetarian. At 16, she’s a gifted teen ready to take on her first year in vet school, where her older sister also studies. There, she gets no time to settle: hazing starts right away. Justine is forced to eat raw meat for the first time in her life. Unexpected consequences emerge as her true self begins to form.","Drama, Horror","Alice D'Hauwe, Bérangère Mc Neese, Julianne Binard, Morgan Politi, Benjamin Boutboul, Sophie Breyer, Thomas Mustin, Lich Jass, Denis Mpunga, Virgil Leclaire, Anna Solomin, Maïté Katinka Lonne, Daniel Utegenova, Sibylle du Plessy, Joana Preiss, Ella Rumpf, Garance Marillier, Laurent Lucas, Charlotte Sandersen, Amandine Hinnekens, Helena Coppejans, Pierre Nisse, Marion Vernoux, Rabah Nait Oufella, Christophe Menier, Alexis Julemont, Jean-Louis Sbille, Bouli Lanners, Marouan Iddoub",Julia Ducournau,"Jacques Akchoti, Marie Amachoukeli-Barsacq, Julia Ducournau","Wild Bunch, Rouge International, BeTV, Frakas Productions, RTBF, Petit Film, VOO, Ezekiel Film Production","Jean des Forêts, Julie Gayet, Nadia Turincev",fr,3036,7.053,19.981,99,2016-11-11
Let the Right One In,13310,"Set in 1982 in the suburb of Blackeberg, Stockholm, twelve-year-old Oskar is a lonely outsider, bullied at school by his classmates; at home, Oskar dreams of revenge against a trio of bullies. He befriends his twelve-year-old, next-door neighbor Eli, who only appears at night in the snow-covered playground outside their building.","Horror, Drama","Kent Rishaug, Adam Stone, Henrik Dahl, Lina Leandersson, Anders T. Peedu, Susanne Ruben, Elif Ceylan, Ingemar Raukola, Karin Bergquist, Kajsa Linderholm, Peter Carlberg, Per Ragnar, Rasmus Luthander, Karl-Robert Lindgren, Elin Almén, Cayetano Ruiz, Bengt Bylund, Mikael Rahm, Johan Sömnes, Malin Cederblad, Kåre Hedebrant, Christoffer Bohlin, Julia Nilsson, Ika Nord, Tom Ljungman, Mikael Erhardsson, Bengt Lindström, Pale Olofsson, Sören Källstigen, Linus Hanner, Patrik Rydmark, Bernt Östman, Fredrik Ramel",Tomas Alfredson,John Ajvide Lindqvist,"EFTI, Bavaria Film International, Sandrew Metronome Sverige, Filmpool Nord, SVT, Nordisk Film & TV Fond, Svenska Filminstitutet, Canal+, WAG, Fido Film AB, Chimney Sweden","Carl Molinder, John Nordling",sv,2775,7.532,19.174,114,2008-10-24
The Pope's Exorcist,758323,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.","Horror, Thriller","Alex Essoe, Jordi Collet, Marc Velasco, Daniel Zovatto, Peter DeSouza-Feighoney, Tom Bonington, Victor Solé, Laurel Marsden, Derek Carroll, Laila Barwick, Matthew Sim, Gennaro Diana, Carrie Munro, Edward Harper-Jones, Cornell John, River Hawkins, Pablo Raybould, Paloma Bloyd, Bianca Bardoe, Ed White, Russell Crowe, Alessandro Gruttadauria, Andrea Dugoni, Ryan O'Grady, Ella Cannon, Ralph Ineson, Franco Nero, Santi Bayón",Julius Avery,"Michael Petroni, Gabriele Amorth, Chester Hastings, R. Dean McCreary, Evan Spiliotopoulos","Screen Gems, 2.0 Entertainment, Loyola Productions","Doug Belgrad, Michael Patrick Kaczmarek, Jo Homewood, Jeff Katz, Sophie Cassidy, Eddie Siebert",en,2399,7.038,89.767,103,2023-04-05
I Saw the Devil,49797,"Kyung-chul is a dangerous psychopath who kills for pleasure. Soo-hyeon, a top-secret agent, decides to track down the murderer himself. He promises himself that he will do everything in his power to take vengeance against the killer, even if it means that he must become a monster himself.","Thriller, Horror","Jo Myeong-yeon, Nam Hyeon-joo, Cheon Ho-jin, Kim Dae-hye, Park Seo-yeon, Kim Yeong-chan, Oh San-ha, Nam Bo-ra, Kim Bong-soo, Seol Chang-hee, Um Tae-goo, Jang Jeong-won, Kim Yoon-seo, Jung Tae-sung, Sin Sin-Beom, Mi-nam Jeong, Park Ji-yeon, Han Se-joo, Choi Min-sik, Jo Deok-jae, Yoon Byung-hee, Park Jeong-gi, Choi Moo-seong, Sin Jeong-hoon, Lee Byung-hun, Jang In-seo, Kim Kap-soo, Goo Yong-wan, Kim In-seo, Yoon Chae-yeong, Kim Jae-geon, Lee Seol-gu, Han Chul-woo, Choi Jin-ho, Lee Jun-hyuk, Son Young-soon, Kim Kang-il, Jeon Kuk-hwan",Kim Jee-woon,"Park Hoon-jung, Kim Jee-woon, Lee Yoon-ho","Softbank Ventures, Peppermint&company, Siz Entertainment, Finecut, Michigan Venture Capital, CJ Entertainment, Showbox","Kim Hyun-woo, Kim Jung-hwa, Kim Jae-young",ko,2370,7.796,44.321,144,2010-08-12
Don't Breathe 2,482373,"The Blind Man has been hiding out for several years in an isolated cabin and has taken in and raised a young girl orphaned from a devastating house fire. Their quiet life together is shattered when a group of criminals kidnap the girl, forcing the Blind Man to leave his safe haven to save her.","Thriller, Horror","Diaana Babnicova, Rocci Williams, Brendan Sexton III, Stephen Lang, Bobby Schofield, Adam Young, Ron Rogell, Christian Zagia, Madelyn Grace, Steffan Rhodri, Stephanie Arcila, Fiona O'Shaughnessy",Rodo Sayagues,"Rodo Sayagues, Fede Álvarez","Ghost House Pictures, Stage 6 Films, Good Universe, Bad Hombre, Screen Gems","Nathan Kahane, Sam Raimi, Rick Jacobson, Stephen Lang, Fede Álvarez, Joseph Drake, Andrew Pfeffer, Robert Tapert, Erin Westerman",en,2360,7.1,66.917,98,2021-08-12
An American Werewolf in London,814,"American tourists David and Jack are savaged by an unidentified vicious animal whilst hiking on the Yorkshire Moors. Retiring to the home of a beautiful nurse to recuperate, David soon experiences disturbing changes to his mind and body.","Comedy, Horror","Brian Glover, Paula Jacobs, Paddy Ryan, Rufus Deakin, Colin Fernandes, Gerry Lewis, Ken Sicklen, John Owens, Roger Rowland, Alan Ford, Albert Moses, Lucien Morgan, Peter Ellis, Susan Spencer, John Landis, Don McKillop, Mark Fisher, David Naughton, Mary Tempest, Johanna Crayden, Paul Kember, Geoffrey Burridge, Frank Oz, Sydney Bromley, Michael Carter, Jenny Agutter, John Woodvine, Elizabeth Bradley, Will Leighton, Lesley Ward, Christine Hargreaves, John Salthouse, John Altman, Griffin Dunne, George Hilsdon, Denis Fraser, Frank Singuineau, Michele Brisigotti, Dave Goelz, Simon van Collem, Brenda Cavendish, George Oliver, David Schofield, Keith Hodiak, Jim Henson, Denise Stephens, Lila Kaye, Gordon Sterne, Rik Mayall, Cynthia Powell, Nina Carter, Linzi Drew, John Cannon, Claudine Bowyer, Bob Babenia, Dave Cooper, Anne-Marie Davies, Sean Baker, Joe Belcher, Christopher Scoular",John Landis,John Landis,"American Werewolf Inc., Lyncanthrope Films, Universal Pictures, Guber/Peters Company, PSO, Polygram Pictures","Peter Guber, George Folsey Jr., Jon Peters",en,2250,7.4,34.674,97,1981-08-21
Videodrome,837,"As the president of a trashy TV channel, Max Renn is desperate for new programming to attract viewers. When he happens upon ""Videodrome,"" a TV show dedicated to gratuitous torture and punishment, Max sees a potential hit and broadcasts the show on his channel. However, after his girlfriend auditions for the show and never returns, Max investigates the truth behind Videodrome and discovers that the graphic violence may not be as fake as he thought.","Horror, Science Fiction, Mystery","Reiner Schwarz, Kay Hawtrey, David Tsubouchi, Debbie Harry, Peter Dvorsky, David Cronenberg, Sonja Smits, James Woods, Jack Creley, Leslie Carlson, Bob Church, Lynne Gorman, Lally Cadeau, David Bolt, Franciszka Hedland, Henry Gomez, Jayne Eastwood, Harvey Chao, Julie Khaner, Sam Malkin",David Cronenberg,David Cronenberg,"Guardian Trust Company, Filmplan International, Famous Players, Canadian Film Development Corporation","Claude Héroux, Pierre David, Victor Solnicki",en,2052,7.285,29.604,88,1983-02-04
The Return of the Living Dead,10925,"When foreman Frank shows new employee Freddy a secret military experiment in a supply warehouse in Louisville, Kentucky, the two klutzes accidentally release a gas that reanimates corpses into flesh-eating zombies. As the epidemic spreads throughout the town, and the creatures satisfy their hunger in gory and outlandish ways, Frank and Freddy fight to survive with the help of their boss and a mysterious mortician.","Horror, Comedy","John Durbin, Miguel A. Núñez Jr., Linnea Quigley, Robert Craighead, Drew Deighan, Ed Krieger, Allan Trautman, James Karen, Mark Venturini, Jerome 'Daniels' Coleman, Don Calfa, Derrick Brice, James Dalesandro, Jewel Shepard, Michael Crabtree, David Bond, Brian Peck, Robert J. Bennett, Jonathan Terry, John Philbin, Cathleen Cordell, Bob Libman, Cherry Davis, Terry Houlihan, Beverly Randolph, Leigh Drake, John Stuart West, Paul Cloud, Clu Gulager, Thom Mathews",Dan O'Bannon,"Russell Streiner, Rudy Ricci, Dan O'Bannon, John A. Russo","Hemdale Film Corporation, Fox Films Ltd., Cinema 84, Orion Pictures","Derek Gibson, Tom Fox, John Daly",en,1927,7.1,30.909,91,1985-04-25
The Omen,794,"Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn’t know is that their new son is the son of the devil.","Horror, Thriller","Billie Whitelaw, Roy Boyd, Dawn Perllman, Bruce Boa, Martin Benson, Patrick Troughton, Anthony Nicholls, Robert MacLeod, Freda Dowie, Tommy Duggan, Sheila Raynor, Burnell Tucker, Holly Palance, Guglielmo Spoletini, Nancy Mannigham, David Warner, Don Fellows, Betty McDowall, Ronald Leigh-Hunt, Leo McKern, Miki Iveria, Patrick McAlinney, Harvey Bernhard, Nicholas Campbell, Michael Leader, Ya'ackov Banai, Harvey Stephens, Bill Reimbold, Lee Remick, Michael Byrne, Gregory Peck, Robert Rietti, John Stride",Richard Donner,David Seltzer,"Mace Neufeld Productions, 20th Century Fox, Harvey Bernhard Productions","Harvey Bernhard, Mace Neufeld, Charles Orme",en,1911,7.396,27.085,111,1976-06-25
Saw X,951491,"Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps.","Horror, Thriller","Tobin Bell, Sebastián Torres, Octavio Hinojosa Martínez, Jorge Briseño, Donagh Gordon, Isan Beomhyun Lee, Bailey Guidry, James Burg, Baltimore Beltrán, Shawnee Smith, Synnøve Macody Lund, Joshua Okamoto, Kerry Ardra, Lucía Gómez-Robledo, Craig Hurley, Cristo Ruiz, Paulette Hernández, Renata Vaca, Costas Mandylor, Steven Brand, Katie Barberi, Michael Beach, David Alfano, Natasha Goss",Kevin Greutert,"Leigh Whannell, Josh Stolberg, James Wan, Pete Goldfinger","Twisted Pictures, Lionsgate","James Wan, Oren Koules, Ulrich Maier, Erick Ahedo, Ketura Kestin, Daniel J. Heffner, Leigh Whannell, Mark Burg",en,1558,7.3,99.514,118,2023-09-27
